DATA_COMPRA,COD_CLIENTE,COD_PRODUTO,NOME_PRODUTO
20200515,99BMYG01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200515,9O09ND01,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200514,93311201,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200514,67701201,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200513,99EDSA01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200513,99EJYS01,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200513,99KC1X01,23319,TABLET NB247 M9-3G QC PRETO                  
20200512,9O15X101,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200512,73422901,25728,SMARTPHONE SAMSUNG GAL J4 CORE 16GB PRETO    
20200512,14579901,25998,"TELEVISOR 43"" 43S6500FS FULL HD SEMP TCL     "
20200512,99C44601,26582,SMARTPHONE MOTOROLA MOTO G8 PLAY 32GB VERM   
20200512,99H0XU01,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
20200512,05551301,21653,SUPORTE TV UNIVERSAL LCD/LED 10 A 71 SBRUB750
20200512,99BKQM01,26548,SMARTPHONE SAMSUNG GAL A10S 32GB VERMELHO    
20200512,99I6VD01,25172,SMARTPHONE LG K9 TV LM-X210BMW PRETO         
20200512,99MZ9R01,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200512,15427301,26243,SUPORTE UNIV. BEDIN BU-25                    
20200511,9OBVTM01,25679,SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX 
20200511,20731001,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200511,9OD66I01,26525,SMARTPHONE LG K12 MAX AZUL                   
20200511,99PXT501,25996,"TELEVISOR 32"" 32S6500S HD LED SEMP TCL       "
20200511,9O3HUF01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200511,9O3HUF01,23904,"TELEVISOR SMART 49"" UN49J5200 SAMSUNG        "
20200511,59292401,25087,SMARTPHONE SAMSUNG GAL J7 PRIME TV 2 DB PT   
20200511,05479501,26570,SMARTPHONE SAMSUNG GAL A20S 32GB PRETO       
20200511,99JD3601,26243,SUPORTE UNIV. BEDIN BU-25                    
20200511,9OICSV01,26243,SUPORTE UNIV. BEDIN BU-25                    
20200511,99CWNZ01,25679,SMARTPHONE MOTOROLA MOTO G7 XT1962-4 DB ONIX 
20200511,99C3JM01,24851,TABLET NB706 MINI MS50L PRETO/GRAFIT         
20200511,93606701,26574,SMARTPHONE SAMSUNG GAL A30S 64GB BRANCO      
20200510,9OCF1K01,26635,CELULAR SEMP GO 1E 2G COM BASE PRETO         
20200510,9OAHBS01,26524,SMARTPHONE LG K12 MAX PRETO                  
20200510,82549901,26635,CELULAR SEMP GO 1E 2G COM BASE PRETO         
20200510,89166501,26569,SMARTPHONE SAMSUNG GAL A10S 32GB PRETO       
20200509,18929901,26635,CELULAR SEMP GO 1E 2G COM BASE PRETO         
20200509,06366801,25933,TABLET NB304 M7 3G PLUS QUAD CORE PRETO      
20200509,99HBOA01,22620,CELULAR RIU-I R200 DB BRANCO-ROSA            
20200509,99M10801,22617,CELULAR RIU-I R200 DB PRETO-VERMELHO         
20200509,33523201,26013,SMARTPHONE SAMSUNG GAL A50  A505 64GB BRANCO 
20200509,99DLSG01,25579,SMARTPHONE SAMSUNG GAL J6 PLUS 32GB PRATA    
20200509,43211701,26572,SMARTPHONE SAMSUNG GAL A20S 32GB VERMELHO    
20200509,04029801,25727,SMARTPHONE SAMSUNG GAL J2 CORE 16GB PRATA    
20200509,9O48ZN01,25729,SMARTPHONE SAMSUNG GAL J4 CORE 16GB COBRE    
20200509,99EK4N01,26524,SMARTPHONE LG K12 MAX PRETO                  
20200509,9OQIU601,26725,SMARTPHONE SAMSUNG GAL A71 128GB PRETO       
20200508,77724701,26432,AUTO RADIO AR-06 PRETO                       
20200508,59534901,26571,SMARTPHONE SAMSUNG GAL A20S 32GB AZUL        
